id,garment_id,split,source_row,gender,category,type,brand,colors,size,cut,pattern,material,season,trend,usage,price,condition,pilling,holes,stains,smell,timestamp,station,period,productDisplayName,articleType,baseColour,image_path
train-10010,10010,train,9028,Women,Ladies,Top,Missing,Black / White,,Cropped,Other,100% cotton,All,,Export,<50,3,1,,Minor,Minor,2023_06_01_10_17_45,station1,jun2023,Top,Top,Black / White,data/second_hand_clothing/images/train-10010.webp
train-10011,10011,train,9029,Women,Ladies,Outerwear,Not in the list,White,36,Turtle neck,,100% polyester,All,Sports,Recycle,<50,2,4,,Major,,2023_06_01_10_21_42,station1,jun2023,Outerwear,Outerwear,White,data/second_hand_clothing/images/train-10011.webp
train-10012,10012,train,9030,Women,Ladies,Trousers,Gina Tricot,Black,S,Loose,,100% polyester,,,Repair,<50,3,5,,,Minor,2023_06_01_10_25_28,station1,jun2023,Gina Tricot Trousers,Trousers,Black,data/second_hand_clothing/images/train-10012.webp
train-10013,10013,train,9031,Women,Ladies,Top,Gina Tricot,Beige,M,Cropped,,100% cotton,Summer,,Recycle,<50,3,5,,,,2023_06_01_10_29_15,station1,jun2023,Gina Tricot Top,Top,Beige,data/second_hand_clothing/images/train-10013.webp
train-10014,10014,train,9032,Women,Ladies,Top,Gina Tricot,Green,M,Cropped,,100% cotton,Summer,,Recycle,<50,3,5,,Minor,,2023_06_01_10_33_41,station1,jun2023,Gina Tricot Top,Top,Green,data/second_hand_clothing/images/train-10014.webp
train-10015,10015,train,9033,Women,Ladies,Shorts,Craft,Black,S,Long,,100% polyester,Summer,Sports,Recycle,<50,3,5,,Minor,Minor,2023_06_01_10_39_37,station1,jun2023,Craft Shorts,Shorts,Black,data/second_hand_clothing/images/train-10015.webp
train-10017,10017,train,9035,Women,Ladies,Top,Gina Tricot,Red,M,Cropped,,100% cotton,,,Recycle,<50,3,4,,,Minor,2023_06_01_10_49_31,station1,jun2023,Gina Tricot Top,Top,Red,data/second_hand_clothing/images/train-10017.webp
train-10018,10018,train,9036,Women,Ladies,Top,Not in the list,Yellow,M,C-collar,Other,100% cotton,,,Reuse,50-100,4,5,,,,2023_06_01_10_53_51,station1,jun2023,Top,Top,Yellow,data/second_hand_clothing/images/train-10018.webp
train-10019,10019,train,9037,Men,Men,Shirt,Dressman,Red / White / Blue,XL,Regular,Other,100% cotton,,,Reuse,50-100,4,5,,,,2023_06_01_10_58_24,station1,jun2023,Dressman Shirt,Shirt,Red / White / Blue,data/second_hand_clothing/images/train-10019.webp
train-1002,1002,train,924,Women,Ladies,Tights,Not in the list,Blue / Orange / Turquoise / Grey,S,Tight,Logo print,100% polyester,All,Sports,Reuse,<50,4,4,,,,2024_04_25_06_42_01,station1,apr2024,Tights,Tights,Blue / Orange / Turquoise / Grey,data/second_hand_clothing/images/train-1002.webp
train-10020,10020,train,9038,Men,Men,Shirt,Not in the list,Beige / Red / Blue / Multicolor,XL,Regular,Other,100% cotton,,Sports,Recycle,50-100,4,5,,Minor,,2023_06_01_11_03_11,station1,jun2023,Shirt,Shirt,Beige / Red / Blue / Multicolor,data/second_hand_clothing/images/train-10020.webp
train-10021,10021,train,9039,Men,Men,Shirt,Carl William,Blue / Red / Yellow / Multicolor,XL,Regular,Other,100% cotton,,,Reuse,100-150,5,5,,,,2023_06_01_11_07_23,station1,jun2023,Carl William Shirt,Shirt,Blue / Red / Yellow / Multicolor,data/second_hand_clothing/images/train-10021.webp
train-10022,10022,train,9040,Men,Men,Shirt,Not in the list,Grey / White,M,Regular,Other,100% cotton,,,Recycle,<50,3,3,,,,2023_06_01_11_10_59,station1,jun2023,Shirt,Shirt,Grey / White,data/second_hand_clothing/images/train-10022.webp
train-10023,10023,train,9041,Men,Men,Shirt,Missing,White / Green / Black,,Regular,Other,"51% polyester, 49% cotton",,,Export,<50,3,2,,,,2023_06_01_11_27_18,station1,jun2023,Shirt,Shirt,White / Green / Black,data/second_hand_clothing/images/train-10023.webp
train-10024,10024,train,9042,Men,Men,Shirt,Missing,Grey,,Regular,,"unknown, low signal",,,Reuse,100-150,5,5,,,,2023_06_01_11_31_05,station1,jun2023,Shirt,Shirt,Grey,data/second_hand_clothing/images/train-10024.webp
train-10025,10025,train,9043,Men,Men,Shirt,Not in the list,Green,S,Regular,,"74% polyester, 26% cotton",Summer,,Export,<50,1,5,,Major,,2023_06_01_11_34_59,station1,jun2023,Shirt,Shirt,Green,data/second_hand_clothing/images/train-10025.webp
train-10026,10026,train,9044,Men,Men,Shirt,Not in the list,White,38,Regular,,100% cotton,Summer,,Recycle,<50,3,5,,Minor,,2023_06_01_11_39_23,station1,jun2023,Shirt,Shirt,White,data/second_hand_clothing/images/train-10026.webp
train-10027,10027,train,9045,Men,Men,T-shirt,Not in the list,Red / White / Black,XL,C-collar,Logo print,100% cotton,,,Export,<50,3,3,,Minor,,2023_06_01_11_42_58,station1,jun2023,T-shirt,T-shirt,Red / White / Black,data/second_hand_clothing/images/train-10027.webp
train-10029,10029,train,9047,Women,Ladies,T-shirt,H&M,Blue,S,Tight,,"57% polyester, 43% cotton",,,Export,<50,3,3,,,,2023_06_01_11_48_58,station1,jun2023,H&M T-shirt,T-shirt,Blue,data/second_hand_clothing/images/train-10029.webp
train-1003,1003,train,925,Women,Ladies,Jacket,Zara,White / Grey,S,C-collar,Logo print,100% bomull,All,,Export,<50,3,5,,Major,,2024_04_25_06_46_12,station1,apr2024,Zara Jacket,Jacket,White / Grey,data/second_hand_clothing/images/train-1003.webp
train-10030,10030,train,9048,Women,Ladies,Jeans,Zara,Blue,38,Loose,,100% cotton,,,Recycle,50-100,3,5,Major,Minor,,2023_06_01_11_54_50,station1,jun2023,Zara Jeans,Jeans,Blue,data/second_hand_clothing/images/train-10030.webp
train-10031,10031,train,9049,Women,Ladies,T-shirt,Lager 157,Blue / White,M,C-collar,,"61% cotton, 39% polyester",,,Export,<50,4,3,,,,2023_06_01_11_58_51,station1,jun2023,Lager 157 T-shirt,T-shirt,Blue / White,data/second_hand_clothing/images/train-10031.webp
train-10032,10032,train,9050,Men,Men,Sweater,Not in the list,Red,L,V-collar,,100% cotton,,,Recycle,<50,3,5,,,,2023_06_01_12_02_42,station1,jun2023,Sweater,Sweater,Red,data/second_hand_clothing/images/train-10032.webp
train-10034,10034,train,9051,Women,Ladies,T-shirt,Jack And Jones,Black / White,M,Regular,Logo print,"70% cotton, 30% nylon",,,Reuse,<50,2,5,,,Minor,2023_06_01_12_09_01,station1,jun2023,Jack And Jones T-shirt,T-shirt,Black / White,data/second_hand_clothing/images/train-10034.webp
train-10035,10035,train,9052,Men,Men,Shirt,Missing,Blue / White,40,Regular,Other,100% cotton,,,Reuse,<50,3,5,,Minor,,2023_06_01_12_12_12,station1,jun2023,Shirt,Shirt,Blue / White,data/second_hand_clothing/images/train-10035.webp
train-10036,10036,train,9053,Men,Men,Shirt,Not in the list,Blue / White,XL,Regular,Striped,100% cotton,,Sports,Reuse,50-100,4,5,,,,2023_06_01_12_15_02,station1,jun2023,Shirt,Shirt,Blue / White,data/second_hand_clothing/images/train-10036.webp
train-10037,10037,train,9054,Women,Ladies,Dress,Kappahl,Grey,XXL,V-collar,,"57% viscose, 40% polyester, 3% elastane",,,Reuse,50-100,4,5,,,,2023_06_01_12_20_17,station1,jun2023,Kappahl Dress,Dress,Grey,data/second_hand_clothing/images/train-10037.webp
train-10038,10038,train,9055,Women,Ladies,Training top,Nike,Purple,L,C-collar,,100% polyester,,Sports,Reuse,50-100,4,5,,,,2023_06_01_12_27_25,station1,jun2023,Nike Training top,Training top,Purple,data/second_hand_clothing/images/train-10038.webp
train-10039,10039,train,9056,Women,Ladies,Shirt,Not in the list,Black / White,XS,Loose,Striped,"74% viscose, 26% polyester",Summer,,Reuse,50-100,4,5,,,Minor,2023_06_01_12_31_42,station1,jun2023,Shirt,Shirt,Black / White,data/second_hand_clothing/images/train-10039.webp
train-10040,10040,train,9057,Men,Men,T-shirt,Nike,Grey / Yellow,M,Tight,Logo print,100%Polyester,All,Sports,Reuse,50-100,5,5,,,,2023_06_02_08_19_54,station1,jun2023,Nike T-shirt,T-shirt,Grey / Yellow,data/second_hand_clothing/images/train-10040.webp
train-10041,10041,train,9058,Women,Ladies,Skirt,Desigual,Grey / Black / White,XS,Cropped,Other,100% Viscose 100% Polyester,Summer,,Reuse,50-100,5,5,,,,2023_06_02_08_31_40,station1,jun2023,Desigual Skirt,Skirt,Grey / Black / White,data/second_hand_clothing/images/train-10041.webp
train-10042,10042,train,9059,Women,Ladies,Trousers,Gina Tricot,Black,34,,,57% Nylon 43% Viscose,,,Export,<50,2,5,,Minor,,2023_06_02_08_35_28,station1,jun2023,Gina Tricot Trousers,Trousers,Black,data/second_hand_clothing/images/train-10042.webp
train-10044,10044,train,9060,Women,Ladies,Sweater,Not in the list,White / Pink / Grey,XL,Regular,Other,100% Cotton,Winter,,Recycle,<50,2,4,,Major,,2023_06_02_08_41_58,station1,jun2023,Sweater,Sweater,White / Pink / Grey,data/second_hand_clothing/images/train-10044.webp
train-10045,10045,train,9061,Men,Men,Top,Not in the list,Red,L,C-collar,Other,83% Polyester 17% Cotton,All,,Reuse,50-100,5,5,,,,2023_06_02_08_44_37,station1,jun2023,Top,Top,Red,data/second_hand_clothing/images/train-10045.webp
train-10046,10046,train,9062,Women,Ladies,Top,Missing,Grey,,Loose,,100% Silk,All,,Reuse,50-100,5,5,,,,2023_06_02_08_47_47,station1,jun2023,Top,Top,Grey,data/second_hand_clothing/images/train-10046.webp
train-10048,10048,train,9063,Women,Ladies,Trousers,Holly And Whyte (Lindex),Red,38,Regular,,100% Cotton,All,,Recycle,<50,2,5,,,,2023_06_02_08_52_51,station1,jun2023,Holly And Whyte (Lindex) Trousers,Trousers,Red,data/second_hand_clothing/images/train-10048.webp
train-10049,10049,train,9064,Women,Ladies,Jacket,Lindex,Red,40,Regular,,64% Cotton 33% Polyester,Spring,,Export,<50,2,5,,Major,,2023_06_02_08_57_00,station1,jun2023,Lindex Jacket,Jacket,Red,data/second_hand_clothing/images/train-10049.webp
train-1005,1005,train,926,Women,Ladies,Jacket,Not in the list,Black / Red / White / Blue / Brown,L,Turtle neck,Logo print,100% polyester,All,Denim,Export,<50,2,3,Major,Minor,,2024_04_25_06_58_08,station1,apr2024,Jacket,Jacket,Black / Red / White / Blue / Brown,data/second_hand_clothing/images/train-1005.webp
train-10050,10050,train,9065,Women,Ladies,Trousers,Kappahl,Beige,42,Regular,,100% Cotton,All,,Reuse,50-100,5,5,,,,2023_06_02_09_03_00,station1,jun2023,Kappahl Trousers,Trousers,Beige,data/second_hand_clothing/images/train-10050.webp
train-10051,10051,train,9066,Women,Ladies,Jacket,Missing,Black,,Regular,,100% Silk,All,,Reuse,150-250,5,5,,,,2023_06_02_09_06_02,station1,jun2023,Jacket,Jacket,Black,data/second_hand_clothing/images/train-10051.webp
train-10052,10052,train,9067,Men,Men,Tank top,Logg (H&M),Black,L,Regular,,100% Cotton,All,,Reuse,50-100,5,5,,,,2023_06_02_09_07_53,station1,jun2023,Logg (H&M) Tank top,Tank top,Black,data/second_hand_clothing/images/train-10052.webp
train-10053,10053,train,9068,Women,Ladies,Top,Gina Tricot,Black,XL,Regular,,72% Viscose 25% Polyester 3% Elastane,All,,Reuse,50-100,5,5,,,,2023_06_02_09_11_00,station1,jun2023,Gina Tricot Top,Top,Black,data/second_hand_clothing/images/train-10053.webp
train-10054,10054,train,9069,Women,Ladies,Cardigan,Kriss,Beige / White / Grey,S,Loose,Other,65% Acry 35% Wool,All,80s,Reuse,100-150,5,4,,,,2023_06_02_09_15_30,station1,jun2023,Kriss Cardigan,Cardigan,Beige / White / Grey,data/second_hand_clothing/images/train-10054.webp
train-10055,10055,train,9070,Women,Ladies,Dress,Missing,White / Green / Yellow / Multicolor,,Regular,Floral print,100% Silk,Summer,,Reuse,50-100,5,5,,,,2023_06_02_09_20_18,station1,jun2023,Dress,Dress,White / Green / Yellow / Multicolor,data/second_hand_clothing/images/train-10055.webp
train-10056,10056,train,9071,Women,Ladies,Top,Kappahl,Green / Multicolor / Blue / Pink,48,Regular,Floral print,100% Cotton,Summer,,Reuse,50-100,5,5,,,,2023_06_02_09_22_37,station1,jun2023,Kappahl Top,Top,Green / Multicolor / Blue / Pink,data/second_hand_clothing/images/train-10056.webp
train-10057,10057,train,9072,Women,Ladies,Top,Isolde,Multicolor / Blue / Pink / Green,XL,C-collar,Floral print,100% Viscose,Summer,,Recycle,<50,2,2,,,,2023_06_02_09_24_29,station1,jun2023,Isolde Top,Top,Multicolor / Blue / Pink / Green,data/second_hand_clothing/images/train-10057.webp
train-10058,10058,train,9073,Women,Ladies,T-shirt,Not in the list,Pink,48,Tight,,100% Cotton,Summer,,Recycle,<50,1,2,,Minor,,2023_06_02_09_26_32,station1,jun2023,T-shirt,T-shirt,Pink,data/second_hand_clothing/images/train-10058.webp
train-1006,1006,train,927,Women,Ladies,Jacket,H&M,Green / Brown / Beige,36,Turtle neck,Other,100% bomull,All,,Export,<50,1,5,,Major,,2024_04_25_07_23_42,station1,apr2024,H&M Jacket,Jacket,Green / Brown / Beige,data/second_hand_clothing/images/train-1006.webp
train-10062,10062,train,9077,Women,Ladies,Tank top,Missing,Blue / White / Black,M,Tight,Other,100% Cotton,All,,Recycle,50-100,3,5,,Minor,,2023_06_02_09_40_24,station1,jun2023,Tank top,Tank top,Blue / White / Black,data/second_hand_clothing/images/train-10062.webp
train-10063,10063,train,9078,Women,Ladies,T-shirt,Zara,Red,L,Cropped,,100% Cotton,All,,Reuse,50-100,5,5,,,,2023_06_02_09_42_16,station1,jun2023,Zara T-shirt,T-shirt,Red,data/second_hand_clothing/images/train-10063.webp
train-10064,10064,train,9079,Women,Ladies,Cardigan,Not in the list,Purple,40,Regular,,61% Nylon 39% Viscose,All,,Export,<50,3,3,,,,2023_06_02_09_52_00,station1,jun2023,Cardigan,Cardigan,Purple,data/second_hand_clothing/images/train-10064.webp
train-10065,10065,train,9080,Women,Ladies,Shirt,Not in the list,Blue / Black / Beige / Multicolor,M,Regular,Other,100% cotton,,,Recycle,<50,3,5,,Minor,,2023_06_02_10_30_22,station1,jun2023,Shirt,Shirt,Blue / Black / Beige / Multicolor,data/second_hand_clothing/images/train-10065.webp
train-10066,10066,train,9081,Women,Ladies,T-shirt,Fbsisters (New Yorker),Black,S,C-collar,Other,100% cotton,,,Recycle,<50,3,5,,,,2023_06_02_10_32_48,station1,jun2023,Fbsisters (New Yorker) T-shirt,T-shirt,Black,data/second_hand_clothing/images/train-10066.webp
train-10068,10068,train,9083,Women,Ladies,Top,Lindex,Pink / Red,M,Regular,Other,"65% polyester, 33% viscose, 2% elastane",,,Export,50-100,4,3,,,Minor,2023_06_02_10_45_16,station1,jun2023,Lindex Top,Top,Pink / Red,data/second_hand_clothing/images/train-10068.webp
train-10069,10069,train,9084,Women,Ladies,Shorts,Adidas,Black,S,Tight,Logo print,"80% polyester, 20% elastane",,Sports,Reuse,50-100,4,5,,,Minor,2023_06_02_10_48_56,station1,jun2023,Adidas Shorts,Shorts,Black,data/second_hand_clothing/images/train-10069.webp
train-1007,1007,train,928,Women,Ladies,Shirt,H&M,White,S,Regular,Other,100% bomull,All,,Export,<50,3,5,,Major,,2024_04_25_07_27_38,station1,apr2024,H&M Shirt,Shirt,White,data/second_hand_clothing/images/train-1007.webp
train-10070,10070,train,9085,Women,Ladies,Top,H&M,Black,S,C-collar,,"66% viscose, 34% nylon",,,Reuse,50-100,5,5,,,,2023_06_02_10_52_17,station1,jun2023,H&M Top,Top,Black,data/second_hand_clothing/images/train-10070.webp
train-10071,10071,train,9086,Women,Ladies,Cardigan,Not in the list,Black,M,Loose,,"73% viscose, 27% nylon",,,Export,<50,2,5,Minor,,,2023_06_02_10_57_08,station1,jun2023,Cardigan,Cardigan,Black,data/second_hand_clothing/images/train-10071.webp
train-10072,10072,train,9087,Women,Ladies,Sweater,Not in the list,White / Green,M,Regular,Other,100% polyester,,,Recycle,<50,2,3,Minor,Major,Minor,2023_06_02_11_00_27,station1,jun2023,Sweater,Sweater,White / Green,data/second_hand_clothing/images/train-10072.webp
train-10074,10074,train,9089,Women,Ladies,Jacket,Not in the list,Black,36,Regular,,"Leather 100%, 100% polyester",All,,Repair,50-100,3,5,Major,Minor,,2023_06_02_11_09_22,station1,jun2023,Jacket,Jacket,Black,data/second_hand_clothing/images/train-10074.webp
train-10075,10075,train,9090,Women,Ladies,Jeans,Not in the list,White,,Loose,,100% cotton,All,Denim,Reuse,100-150,4,5,,,,2023_06_02_11_13_54,station1,jun2023,Jeans,Jeans,White,data/second_hand_clothing/images/train-10075.webp
train-10077,10077,train,9091,Women,Ladies,Jeans,Isolde,Blue,46,Regular,,"Unknown, low signal",All,Denim,Export,<50,3,5,,Minor,,2023_06_02_11_20_40,station1,jun2023,Isolde Jeans,Jeans,Blue,data/second_hand_clothing/images/train-10077.webp
train-10078,10078,train,9092,Women,Ladies,Top,Gina Tricot,Black,XXS,Cropped,,100% cotton,All,,Recycle,<50,3,5,,Minor,,2023_06_02_11_23_49,station1,jun2023,Gina Tricot Top,Top,Black,data/second_hand_clothing/images/train-10078.webp
train-1008,1008,train,929,Women,Ladies,Cardigan,Odd Molly,Blue / Pink / Black / Red / White / Grey,40,C-collar,Logo print,100% bomull,All,,Export,<50,4,4,,Minor,,2024_04_25_07_43_21,station1,apr2024,Odd Molly Cardigan,Cardigan,Blue / Pink / Black / Red / White / Grey,data/second_hand_clothing/images/train-1008.webp
train-10080,10080,train,9093,Women,Ladies,Sweater,Not in the list,Green,40,Turtle neck,,"51% acrylic, 49% wool",,,Export,<50,3,2,,,,2023_06_02_11_54_00,station1,jun2023,Sweater,Sweater,Green,data/second_hand_clothing/images/train-10080.webp
train-10083,10083,train,9095,Men,Men,Winter jacket,Not in the list,Black,L,Regular,,"Unknown, not match",Winter,,Reuse,<50,3,5,,Minor,,2023_06_02_12_12_19,station1,jun2023,Winter jacket,Winter jacket,Black,data/second_hand_clothing/images/train-10083.webp
train-10084,10084,train,9096,Men,Men,T-shirt,Not in the list,White / Blue / Green,S,C-collar,Animal print,100% cotton,Summer,,Reuse,50-100,5,5,,,,2023_06_02_12_16_41,station1,jun2023,T-shirt,T-shirt,White / Blue / Green,data/second_hand_clothing/images/train-10084.webp
train-10085,10085,train,9097,Women,Ladies,Trousers,Puma,Black / White,M,Regular,Logo print,"Unknown, low signal",,Sports,Export,<50,2,5,,Minor,Minor,2023_06_02_12_20_17,station1,jun2023,Puma Trousers,Trousers,Black / White,data/second_hand_clothing/images/train-10085.webp
train-10086,10086,train,9098,Women,Ladies,Top,Not in the list,Grey,36,Tight,,100% cotton,,,Recycle,<50,3,5,,Minor,,2023_06_02_12_24_19,station1,jun2023,Top,Top,Grey,data/second_hand_clothing/images/train-10086.webp
train-10087,10087,train,9099,Women,Ladies,Tights,Not in the list,Blue / Green / Purple / Multicolor,M,Tight,Other,100% polyester,,,Reuse,<50,3,5,,,,2023_06_02_12_28_59,station1,jun2023,Tights,Tights,Blue / Green / Purple / Multicolor,data/second_hand_clothing/images/train-10087.webp
train-10088,10088,train,9100,Women,Ladies,Shirt,Not in the list,Pink,38,Loose,,100% polyester,Summer,,Recycle,<50,2,5,,,,2023_06_02_13_05_06,station1,jun2023,Shirt,Shirt,Pink,data/second_hand_clothing/images/train-10088.webp
train-10089,10089,train,9101,Women,Ladies,Outerwear,Me & I,Black,M,Regular,,100% polyester,All,,Reuse,<50,3,5,,,,2023_06_02_13_15_44,station1,jun2023,Me & I Outerwear,Outerwear,Black,data/second_hand_clothing/images/train-10089.webp
train-1009,1009,train,930,Women,Ladies,Blouse,H&M,Blue / Pink / Yellow / Black / White / Green / Purple,36,C-collar,Floral print,100% polyester,All,,Reuse,100-150,5,5,,,,2024_04_25_07_48_35,station1,apr2024,H&M Blouse,Blouse,Blue / Pink / Yellow / Black / White / Green / Purple,data/second_hand_clothing/images/train-1009.webp
train-10090,10090,train,9102,Women,Ladies,Shirt,Soya/Soyaconcept,Pink,XS,Regular,Striped,"67% cotton, 33% polyester",All,,Reuse,50-100,4,5,,,,2023_06_02_13_18_41,station1,jun2023,Soya/Soyaconcept Shirt,Shirt,Pink,data/second_hand_clothing/images/train-10090.webp
train-10091,10091,train,9103,Women,Ladies,T-shirt,Not in the list,Black / White,M,Regular,Striped,"51% cotton, 49% polyester",All,,Export,<50,3,5,,Minor,,2023_06_02_13_21_39,station1,jun2023,T-shirt,T-shirt,Black / White,data/second_hand_clothing/images/train-10091.webp
train-10092,10092,train,9104,Women,Ladies,Blouse,Missing,White,,Regular,,"59% wool, 41% cotton",,,Export,50-100,3,5,,Minor,,2023_06_02_13_33_36,station1,jun2023,Blouse,Blouse,White,data/second_hand_clothing/images/train-10092.webp
train-10093,10093,train,9105,Women,Ladies,Skirt,Lindex,Brown,36,Regular,,100% cotton,,,Recycle,<50,3,5,,,,2023_06_02_13_36_19,station1,jun2023,Lindex Skirt,Skirt,Brown,data/second_hand_clothing/images/train-10093.webp
train-10094,10094,train,9106,Women,Ladies,Skirt,Kappahl,Green,36,Regular,,"54% nylon, 46% cotton",,,Export,<50,2,5,,,,2023_06_02_13_40_44,station1,jun2023,Kappahl Skirt,Skirt,Green,data/second_hand_clothing/images/train-10094.webp
train-10097,10097,train,9109,Women,Ladies,Sweater,Bikbok,White / Black,S,V-collar,,100% polyester,,,Recycle,<50,2,5,,,,2023_06_02_13_56_37,station1,jun2023,Bikbok Sweater,Sweater,White / Black,data/second_hand_clothing/images/train-10097.webp
train-10098,10098,train,9110,Men,Men,Shirt,Dressman,Blue / Green / White,40,Regular,Checkered print,100% Cotton,,,Reuse,50-100,5,5,,,,2023_06_05_06_11_46,station1,jun2023,Dressman Shirt,Shirt,Blue / Green / White,data/second_hand_clothing/images/train-10098.webp
train-10099,10099,train,9111,Women,Ladies,Sweater,Missing,Black,,Regular,Other,Unknown,All,90s,Reuse,50-100,3,5,,Major,,2023_06_05_06_18_40,station1,jun2023,Sweater,Sweater,Black,data/second_hand_clothing/images/train-10099.webp
train-1010,1010,train,931,Women,Ladies,Blouse,Miss Milla,White,XS,V-collar,Transparent,100% polyester,All,,Reuse,50-100,5,5,,,,2024_04_25_07_52_17,station1,apr2024,Miss Milla Blouse,Blouse,White,data/second_hand_clothing/images/train-1010.webp
train-10100,10100,train,9112,Women,Ladies,Trousers,Ellos,Beige,L,Regular,,100% Cotton,All,,Recycle,<50,2,5,,Minor,,2023_06_05_06_24_36,station1,jun2023,Ellos Trousers,Trousers,Beige,data/second_hand_clothing/images/train-10100.webp
train-10103,10103,train,9114,Women,Ladies,Top,Not in the list,Blue / Purple / White,S,Regular,Other,100% Cotton,All,,Recycle,<50,2,5,,,,2023_06_05_06_33_15,station1,jun2023,Top,Top,Blue / Purple / White,data/second_hand_clothing/images/train-10103.webp
train-10104,10104,train,9115,Men,Men,Top,Dressman,Blue / Purple,M,Regular,Striped,80% Cotton 20% Elastan,All,,Export,<50,1,5,,Major,,2023_06_05_06_36_53,station1,jun2023,Dressman Top,Top,Blue / Purple,data/second_hand_clothing/images/train-10104.webp
train-10105,10105,train,9116,Men,Men,Shirt,Dressman,Green / Black,S,Regular,Checkered print,100% Cotton,All,,Reuse,50-100,5,5,,,,2023_06_05_06_39_42,station1,jun2023,Dressman Shirt,Shirt,Green / Black,data/second_hand_clothing/images/train-10105.webp
train-10108,10108,train,9118,Women,Ladies,Blouse,Amisu (New Yorker),Black / White,S,Loose,Striped,100% Polyester,All,,Recycle,<50,2,5,,Major,,2023_06_05_07_10_13,station1,jun2023,Amisu (New Yorker) Blouse,Blouse,Black / White,data/second_hand_clothing/images/train-10108.webp
train-10109,10109,train,9119,Women,Ladies,Top,Pieces,Black,,Loose,Metallic,100% Polyester,All,,Reuse,50-100,5,5,,,,2023_06_05_07_12_11,station1,jun2023,Pieces Top,Top,Black,data/second_hand_clothing/images/train-10109.webp
train-1011,1011,train,932,Men,Men,Sweater,Barbour,Green,,V-collar,Other,100% ull,All,,Export,<50,4,5,,Minor,,2024_04_25_08_00_32,station1,apr2024,Barbour Sweater,Sweater,Green,data/second_hand_clothing/images/train-1011.webp
train-10111,10111,train,9120,Women,Ladies,Top,Missing,Brown,,Turtle neck,,100% Acryl,All,,Export,<50,1,1,Minor,,,2023_06_05_07_19_33,station1,jun2023,Top,Top,Brown,data/second_hand_clothing/images/train-10111.webp
train-10112,10112,train,9121,Women,Ladies,Sweater,Missing,Beige,,Regular,,58% Cotton 42% Acryl,All,,Export,<50,2,3,,Major,,2023_06_05_07_21_57,station1,jun2023,Sweater,Sweater,Beige,data/second_hand_clothing/images/train-10112.webp
train-10113,10113,train,9122,Women,Ladies,Sweater,Not in the list,Green,44,Regular,,100% Acryl,All,,Export,<50,3,1,,,,2023_06_05_07_27_17,station1,jun2023,Sweater,Sweater,Green,data/second_hand_clothing/images/train-10113.webp
